record_id,Name,SIN,StreetNumber,Street,City,Province,PostalCode,DOB,PhoneNum
rec-35177-id-dup-2,John Smith,354 703 811,19426,Ortega Meadow,South Maria,New Brunswick,67102,2007-03-31,1-713-458-8106
rec-35177-id-dup-3,,354 703 811,19426,Dyer Ports,South Maria,New Brunswick,67102,2007-03-31,1-713-458-8106
rec-35177-id-dup-4,John Smith,354 703 811,19426,Dyer Ports,South Maria,New Brunswick,67102,2007-03-31,1-713-458-8106
rec-35178-id,Tiffany Rollins,382 582 039,61818,Kyle Road,Rebeccaberg,New Brunswick,48260,2002-03-23,351-134-5245 x368
rec-35178-id-dup-0,Tiffany Rollins,382 582 039,61818,Kyle R oad,Rebeccaberg,New Brunswick,48260,2002-03-23,351-134-5245 x368
rec-35178-id-dup-1,Tiffany Rollins,382 582 039,61818,Kyle Road,Rebeccaberg,New Brunswick,48260,2002-03-23,351-134-5245 x368
rec-35179-id,Ronald Sullivan,830 712 717,2554,Young Plaza,South Matthew,British Columbia,83695,1988-11-08,(704) 635-9508 x181
rec-35179-id-dup-0,Ronald Sullivan,830 712 717,2554,Plaza Young,South Matthew,British Columbia,83695,1988-11-08,(704) 635-9508 x181
rec-35179-id-dup-1,Ronald Sullivan,830 712 717,2554,Dawson Course,South Matthew,British Columbia,83695,1988-11-08,(704) 635-9508 x181
rec-35180-id,Joshua Vega,174 438 010,2660,Ross Hill,Hardingborough,Manitoba,81205,2010-03-14,710-082-1342 x668
rec-35180-id-dup-0,Joshua Vega,174 438 010,2660,,Hardingborough,Manitoba,81205,2010-03-14,710-082-1342 x668
rec-35180-id-dup-1,Joshua Vega,174 438 010,2660,Ross Hill,Hardingborough,Manitoba,81205,2010-03-14,710-082-1342 x668
rec-35180-id-dup-2,Joshua Vega,174 438 010,2660,Hill Ross,Hardingborough,Manitoba,81205,2010-03-14,710-082-1342 x668
rec-35180-id-dup-3,Joshua Vega,174 438 010,2660,Ross H ill,Hardingborough,Manitoba,81205,2010-03-14,710-082-1342 x668
rec-35180-id-dup-4,Joshua Vega,174 438 010,2660,Hill Ross,Hardingborough,Manitoba,81205,2010-03-14,710-082-1342 x668
rec-35181-id,Anne Morris,718 732 605,341,Kim Forges,West Brittany,Northwest Territories,58048,1989-07-23,854 589 8519
rec-35181-id-dup-0,Anne Morris,718 732 605,341,Forges Kim,West Brittany,Northwest Territories,58048,1989-07-23,854 589 8519
rec-35181-id-dup-1,Anne Morris,718 732 605,341,Kim Forges,West Brittany,Northwest Territories,58048,1989-07-23,854 589 8519
